"filename", "language", "Markdown", "JavaScript", "MS SQL", "YAML", "XML", "TypeScript", "Shell Script", "JSON with Comments", "Docker", "JSON", "Ignore", "Properties", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/health/route.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/knowledge-base/route.ts", "TypeScript", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 198
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/rag/route.ts", "TypeScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 96
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/setup-bucket/route.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 58
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/whatsapp-proxy/route.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 111
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/agents/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 5, 16, 93
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/agents/client-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 1, 17, 187
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/agents/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 4, 17
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/attendants/client-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 13, 18, 196
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/attendants/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 4, 17
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/channels/client-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 2, 19, 180
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/channels/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 5, 18
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/knowledge-base/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 532, 0, 30, 70, 632
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 9, 15, 163
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 13, 24, 177
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/plano/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 0, 20, 27, 320
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 1, 7, 127
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 6, 52
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 3, 6, 35
